id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento,fecha_nacimiento_dt,motivo_rechazo
1,José Chávez Pérez,jose.chavez.perez1@gmail.com,Hombre,2011/11/24,San Miguel,,2011-11-24,segmento_nulo
2,Daniela Rojas Ortiz,daniela.rojas.ortiz2@seguro.sv,,01-02-80,Santa Ana,,,"genero_invalido, fecha_nacimiento_invalida, segmento_nulo"
3,Ricardo Cruz Flores,ricardo.cruz.flores3@example.com,Hombre,06-18-79,San Miguel,,,"fecha_nacimiento_invalida, segmento_nulo"
4,María Pérez Pérez,maria.perez.perez4@correo.com,Hombre,1960-09-29,La Libertad,Regular,,fecha_nacimiento_invalida
5,Fernanda Chávez Rojas,fernanda.chavez.rojas5@seguro.sv,,1945/08/02,San Salvador,Pyme,1945-08-02,genero_invalido
6,Ricardo López Vásquez,ricardo.lopez.vasquez6@seguro.sv,Hombre,1966/10/15,,Pyme,1966-10-15,ciudad_nula
7,Diego Flores Rojas,diego.flores.rojas0@example.com,Hombre,27-07-1983,Santa Ana,Premium,,fecha_nacimiento_invalida
8,Karla Ortiz López,karla.ortiz.lopez1@mail.com,Hombre,08-05-1975,Santa Ana,Premium,,fecha_nacimiento_invalida
9,Juan Flores Morales,juan.flores.morales2@example.com,Mujer,14-05-1969,San Miguel,Regular,,fecha_nacimiento_invalida
10,María Aguilar López,maria.aguilar.lopez3@example.com,Hombre,2007-03-14,San Salvador,Premium,,fecha_nacimiento_invalida
11,Sofía López Torres,sofia.lopez.torres4@seguro.sv,Hombre,1953-09-02,,Pyme,,"fecha_nacimiento_invalida, ciudad_nula"
12,Valeria Vásquez Gómez,valeria.vasquez.gomez5@mail.com,Mujer,05-10-94,San Salvador,VIP,,fecha_nacimiento_invalida
14,Karla Hernández Santos,karla.hernandez.santos0@gmail.com,,03-19-10,San Salvador,Regular,,"genero_invalido, fecha_nacimiento_invalida"
15,Ana Rojas Aguilar,ana.rojas.aguilar1@example.com,Hombre,20-06-1949,Santa Ana,Premium,,fecha_nacimiento_invalida
16,Daniela Flores Torres,daniela.flores.torres2@seguro.sv,,04-07-2012,Sonsonate,Regular,,"genero_invalido, fecha_nacimiento_invalida"
18,Ricardo Reyes Gómez,ricardo.reyes.gomez4@example.com,Mujer,09-28-83,Sonsonate,,,"fecha_nacimiento_invalida, segmento_nulo"
19,Ana Mendoza Ramírez,ana.mendoza.ramirez5@seguro.sv,,1947/09/06,Santa Ana,Pyme,1947-09-06,genero_invalido
20,Paula López García,paula.lopez.garcia6@correo.com,Mujer,1966/05/25,San Miguel,,1966-05-25,segmento_nulo
21,Daniela Vásquez Rojas,daniela.vasquez.rojas0@example.com,,12-02-06,San Miguel,Premium,,"genero_invalido, fecha_nacimiento_invalida"
22,José Ramírez Reyes,jose.ramirez.reyes1@correo.com,Hombre,22/09/1950,La Libertad,,,"fecha_nacimiento_invalida, segmento_nulo"
23,Daniela Torres Castillo,daniela.torres.castillo2@example.com,Hombre,01-07-49,Santa Ana,VIP,,fecha_nacimiento_invalida
24,Fernanda Pérez Flores,fernanda.perez.flores3@gmail.com,Mujer,31/01/1944,La Libertad,VIP,,fecha_nacimiento_invalida
25,Jorge Castillo Aguilar,jorge.castillo.aguilar4@correo.com,Mujer,12-12-82,La Libertad,VIP,,fecha_nacimiento_invalida
26,Lucía Aguilar García,lucia.aguilar.garcia5@mail.com,Mujer,07/10/1991,Sonsonate,VIP,,fecha_nacimiento_invalida
27,Diego Hernández Ortiz,diego.hernandez.ortiz6@gmail.com,Mujer,31/07/2008,,Pyme,,"fecha_nacimiento_invalida, ciudad_nula"
29,Valeria García Gómez,valeria.garcia.gomez1@mail.com,Mujer,1961-07-08,La Libertad,,,"fecha_nacimiento_invalida, segmento_nulo"
30,Ricardo Castillo Martínez,ricardo.castillo.martinez2@example.com,,1960-10-07,Santa Ana,,,"genero_invalido, fecha_nacimiento_invalida, segmento_nulo"
31,Sofía Rojas Hernández,sofia.rojas.hernandez3@correo.com,Mujer,08/11/1988,San Salvador,Premium,,fecha_nacimiento_invalida
32,Carlos Torres Santos,carlos.torres.santos4@seguro.sv,Mujer,22-11-1965,San Miguel,,,"fecha_nacimiento_invalida, segmento_nulo"
34,Diego Santos Santos,diego.santos.santos6@example.com,Mujer,1941-11-10,Santa Ana,,,"fecha_nacimiento_invalida, segmento_nulo"
35,Paula Flores Gómez,paula.flores.gomez0@seguro.sv,Hombre,06-07-1992,San Miguel,Regular,,fecha_nacimiento_invalida
